Date,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase/Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase/Sales
11-05-2008,2413.13,2196.73,216.4,1116.84,1285.59,-168.75
12-05-2008,1139.12,1143.64,-4.52,410.13,594.15,-184.02
13-05-2008,2990.62,2916.69,73.93,1363.12,1096.62,266.5
14-05-2008,2623.16,2538.04,85.12,1209.49,899.08,310.41
15-05-2008,3165.1,2458.22,706.88,1462.48,1099.37,363.11
16-05-2008,2867.15,2391.28,475.87,1082.16,690.06,392.1
20-05-2008,3233.35,3553.85,-320.5,991.94,991.55,0.39
21-05-2008,2849,3625.63,-776.63,1404.08,951.42,452.66
22-05-2008,2226.7,2764.05,-537.35,1345.33,930.17,415.16
23-05-2008,2311.52,2965.83,-654.31,1413.72,663.69,750.03
26-05-2008,1915.51,3252.84,-1337.33,1494.94,652.89,842.05
27-05-2008,2252.41,2749.02,-496.61,1259.46,729.77,529.69
28-05-2008,3184.92,4068.15,-883.23,1382.85,854.87,527.98
29-05-2008,4242.32,5519.95,-1277.63,2033.12,1335.12,698
30-05-2008,4072.09,3965.71,106.38,1748.84,1018.91,729.93
02-06-2008,2252.16,2738.1,-485.94,1368,1010.68,357.32
05-06-2008,3079.65,3895.26,-815.61,1177.86,882.51,295.35
06-06-2008,2760.42,2683.77,76.65,1089.55,689.4,400.15
08-06-2008,4925.61,3109.87,1815.74,1118.92,1923.28,-804.36
10-06-2008,2051.23,3220.56,-1169.33,1545.99,884.99,661
11-06-2008,1479.54,1991.07,-511.53,925.59,574.02,351.57
13-06-2008,2724.95,2841.46,-116.51,1086.03,628.7,457.33
16-06-2008,2297.68,2845.52,-547.84,794.64,501.59,293.05
17-06-2008,2463.2,2320.84,142.36,1008.21,588.13,420.08
18-06-2008,2471.36,2906.36,-435,791.87,598.23,193.64
19-06-2008,1656.1,2254.46,-598.36,680.39,539.32,141.07
20-06-2008,2450.96,3450.27,-999.31,1131.3,567.44,563.86
23-06-2008,2262.79,2928.35,-665.56,764.63,672.88,91.75
24-06-2008,3367.35,3277.29,90.06,1055.86,579.92,475.94
25-06-2008,2746.3,3110.01,-363.71,1325.81,795.94,529.87
26-06-2008,4234.28,4901.47,-667.19,1414.07,1018.43,395.64
27-06-2008,3301.47,4004.58,-703.11,1281.82,976.11,305.71
30-06-2008,2930.6,3139.26,-208.66,1312.15,587.97,724.18
01-07-2008,3932.09,5475.53,-1543.44,1806.64,1479,327.64
02-07-2008,2141.67,3002.02,-860.35,994.01,763.31,230.7
03-07-2008,4879.81,4366.77,513.04,1293.36,1360.15,-66.79
04-07-2008,3166.17,2820.13,346.04,906.1,660.17,245.93
05-07-2008,3387.92,3299.62,88.3,1039.31,804.48,234.83
07-07-2008,1668.6,2108.17,-439.57,743.71,667.81,75.9
08-07-2008,2338.41,2561.6,-223.19,735.76,711.66,24.1
10-07-2008,2737,3417.42,-680.42,1522.85,974.56,548.29
11-07-2008,1255.65,1274.92,-19.27,326.16,473.24,-147.08
14-07-2008,1855.3,2291.82,-436.52,623.64,686.89,-63.25
15-07-2008,2298.93,3001.63,-702.7,1018.74,735.34,283.4
16-07-2008,2688.43,2917.43,-229,755.95,741.83,14.12
17-07-2008,2774.51,2464.06,310.45,996.16,828.14,168.02
18-07-2008,2891.83,2483.62,408.21,1000.27,1070.74,-70.47
21-07-2008,2145.34,2207.56,-62.22,944.22,1175.18,-230.96
22-07-2008,2113.75,2711.1,-597.35,1368.14,1106.53,261.61
23-07-2008,5749.67,4443.11,1306.56,1920.08,2795.3,-875.22
24-07-2008,3713.76,3441.4,272.36,1075.39,1685.07,-609.68
25-07-2008,2916.66,3482.39,-565.73,1108.77,1411.18,-302.41
28-07-2008,1631.81,2353.71,-721.9,1084.7,628.03,456.67
29-07-2008,2207.8,2746.07,-538.27,811.16,1065.75,-254.59
30-07-2008,2266,2894.47,-628.47,1536,863.88,672.12
31-07-2008,3815.27,3320.4,494.87,1428.76,1108.19,320.57
01-08-2008,5352.37,4781.72,570.65,1630.66,1538.58,92.08
02-08-2008,2687.06,3484.31,-797.25,1106.6,913.62,192.98
04-08-2008,2611.91,2604.64,7.27,1087.03,639.24,447.79
